2461,2032,2066
2442,2007,2071
2452,2027,2092
2464,2029,2071
2469,2027,2081
2462,2045,2087
2466,2047,2047
2479,2032,2066
2455,2031,2062
2459,2046,2077
2457,2047,2060
2466,2013,2054
2462,2038,2070
2445,2017,2075
2433,2016,2037
2417,2000,2027
2405,1998,2019
2416,2009,2015
2416,2000,2016
2396,1977,2015
2399,1999,1995
2415,2000,2000
2415,2000,2003
2397,1995,2019
2448,2007,2101
2454,2031,2083
2438,2033,2081
2441,2042,2084
2448,2035,2066
2459,2047,2073
2478,2039,2061
2457,2043,2096
2465,2021,2077
2450,2033,2081
2462,2022,2097
2479,2031,2095
2450,2032,2096
2453,2023,2090
2455,2017,2083
2448,2033,2091
2438,2023,2075
2466,2018,2096
2463,2017,2105
2450,2045,2082
2450,2013,2096
2467,2031,2075
2443,2031,2094
2462,2029,2078
2448,2027,2096
2448,2033,2096
2454,2029,2075
2448,2007,2084
2453,2023,2070
2451,2011,2066
2437,2031,2071
2461,2038,2064
2455,2011,2081
2437,2007,2066
2447,2016,2108
2442,2010,2079
2452,2042,2075
2442,2014,2098
2458,2023,2093
2453,2019,2095
2461,2026,2071
2459,2016,2107
2444,2032,2082
2448,2015,2111
2459,2007,2080
2456,2031,2105
2463,2030,2080
2460,2034,2112
2471,2032,2089
2453,2035,2096
2462,2027,2070
2449,2017,2076
2448,2030,2085
2475,2019,2101
2451,2034,2098
2141,1744,1749
2122,1712,1737
2124,1707,1753
2103,1695,1739
2101,1695,1754
1682,1425,1331
1535,1328,1198
1535,1328,1190
1535,1310,1185
1535,1293,1163
1561,1309,1171
1535,1291,1152
1535,1302,1181
1535,1306,1177
1535,1303,1156
1530,1296,1172
1535,1285,1178
1520,1313,1162
1535,1280,1187
1533,1290,1176
1535,1290,1165
1557,1315,1163
1521,1296,1189
1535,1306,1174
1535,1301,1187
1533,1283,1187
1553,1299,1190
1525,1287,1159
1535,1301,1194
1535,1282,1178
1552,1309,1171
1535,1301,1195
1535,1280,1185
1563,1297,1168
1554,1302,1169
1559,1305,1165
1525,1297,1171
1554,1307,1183
1557,1296,1158
1533,1278,1170
1535,1289,1177
1534,1311,1168
1534,1287,1165
1535,1281,1185
1525,1281,1158
1531,1295,1158
1535,1296,1170
1535,1291,1168
1514,1289,1167
1527,1290,1165
1535,1296,1158
1526,1297,1171
1526,1302,1169
1535,1281,1153
1531,1273,1151
1535,1300,1166
1532,1280,1151
1534,1296,1168
1511,1293,1173
1532,1305,1159
1527,1287,1165
1520,1279,1182
1523,1278,1155
1520,1296,1163
1535,1311,1168
1535,1321,1171
1520,1282,1169
1520,1287,1166
1535,1303,1158
1520,1296,1170
1535,1287,1162
1535,1305,1165
1535,1311,1195
1535,1314,1173
1535,1318,1179
1533,1301,1174
1532,1306,1184
1535,1303,1159
1535,1278,1169
1529,1289,1167
1525,1306,1199
1534,1292,1153
1503,1291,1151
1495,1245,1137
1471,1251,1134
1471,1243,1104
1474,1214,1118
1458,1232,1118
1471,1215,1136
1451,1199,1122
1456,1221,1104
1450,1207,1094
1349,1096,1040
1200,917,901
1194,899,899
1206,919,912
1189,918,899
1185,897,912
1184,891,897
1179,890,899
1186,878,913
1179,898,912
1207,882,883
1170,896,887
1166,881,912
1190,899,906
1173,877,892
1199,896,907
1179,895,901
1179,896,891
1186,906,884
1169,896,909
1173,887,899
1183,897,894
1194,890,913
1184,896,882
1190,896,891
1171,887,909
1174,899,880
1191,896,918
1168,907,896
1197,895,880
1187,894,898
1158,881,904
1189,875,896
1188,867,892
1166,890,906
1163,876,891
1173,879,866
1154,855,866
1154,875,874
1137,881,875
1148,867,849
1129,848,861
1138,861,869
1143,871,863
1140,853,866
1136,849,863
1123,853,848
1154,851,867
1136,851,859
1119,875,845
1131,849,849
1136,845,865
1130,866,880
1161,869,849
1151,860,875
1141,880,869
1161,880,868
1170,881,895
1159,871,877
1152,871,871
1163,882,880
1169,873,886
1170,891,911
1178,906,887
1177,888,896
1195,895,885
1182,901,902
1194,905,898
1188,903,909
1186,887,895
1180,880,912
1178,902,883
1186,897,890
1191,880,897
1179,901,898
1185,895,902
